,Unnamed: 0,Unnamed: 0.1,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language,User Created,Astroturf,Fake follower,Financial,Other,Overall,Self declared,Spammer,Cap,Bot scores
40130,40130,40130,2022-02-20 23:47:11+00:00,1.49555E+18,"#WritingCommunity #ShamelessSelfPromoSunday #Ukraine #Russia #writing #amwriting #UkraineRussiaCrisis #UkraineCrisis #UkraineWar #UkraineWillResist 
How the Ukraine Crisis Could Save Joe Biden – Simily https://t.co/knjnULlvdQ",DanTheLyons,1.0,vortex5🌚🌝🌗🌓🌖🌔,en,23/11/2018,0.82,0.5,0.0,0.33,0.82,0.0,0.03,0.819914854,0.99389577
40150,40150,40150,2022-02-20 23:46:21+00:00,1.49555E+18,"#WritingCommunity #ShamelessSelfPromoSunday #poem #poetry #poetrycommunity #Ukraine #Russia #UkraineRussiaCrisis #UkraineCrisis #UkraineWillResist 
Ukraine, 2022 – Simily https://t.co/was3LHloNr",DanTheLyons,3.0,vortex5🌚🌝🌗🌓🌖🌔,en,23/11/2018,0.82,0.5,0.0,0.33,0.82,0.0,0.03,0.819914854,0.9975233
40718,40718,40718,2022-02-20 23:20:26+00:00,1.49554E+18,"EXACTLY💯‼️How many SECRETS did TFG GV to RUSSIA??🧐Is THS the REASON PUTIN feels SO EMBOLDENED to START WW3?
UKRAINE FAMILIES R INNOCENT VICTIMS of a GENOCIDE💔
THE #GOPTraitors SUPPORT!🚫⚖😤🍊💩
#UkraineWillResist ✊🏽
#Ukraine
#GQPTraitorsToDemocracy 
#TrumpCrimeFamilyForPrison https://t.co/Q5CkkR2jE9",PlaschT,0.0,T A Madrid-Plasch,en,05/07/2018,0.94,0.41,0.02,0.38,0.94,0.02,0.01,0.899551324,0.9951587
41393,41393,41393,2022-02-20 22:48:13+00:00,1.49553E+18,"Russia blows past another off ramp in the Ukraine crisis
https://t.co/COb4ONToek",LeChatNoire4,2.0,Le Chat Biden Democrat,en,27/03/2014,0.83,0.17,0.02,0.42,0.83,0.02,0.01,0.824091714,0.9943193
42301,42301,42301,2022-02-20 22:10:20+00:00,1.49552E+18,US bares intel on Russia in risky strategy to prevent Ukraine invasion https://t.co/1k8BZw2eeO via @YahooNews,AMiceMarina,0.0,Aida Marina🇺🇦,en,19/05/2009,0.85,0.39,0.02,0.52,0.85,0.0,0.04,0.833918169,0.99443793
42551,42551,42551,2022-02-20 21:59:46+00:00,1.49552E+18,"THE POS GQP'S""TRUE COLORS""...ORANGE!!🍊💩
INFLATION is RISING BC of ths NARRATIVE of TFG &amp;th CORRUPT GQP!
AUTH DICTATORSHIP=GQP SUPPORT of RUSSIA/the TRCKRS in CANADA!😷💉
#UkraineWillResist ✊🏽⚖
JD Vance: Biden Should Focus on Southern Border, Not Ukraine https://t.co/4nXf0j3Agm",PlaschT,0.0,T A Madrid-Plasch,en,05/07/2018,0.94,0.39,0.02,0.39,0.94,0.01,0.01,0.899551324,0.9946592
42574,42574,42574,2022-02-20 21:58:54+00:00,1.49552E+18,"@Scaramucci Yeah, but ukraine doesn't stand a chance against russia.",mycarlisle,0.0,Mary G.,en,09/02/2009,0.97,0.1,0.02,0.34,0.97,0.0,0.0,0.923535424,0.9804828
42615,42615,42615,2022-02-20 21:57:12+00:00,1.49552E+18,"What MSM is NOT covering,, Now!      

Ukraine-Russia Crisis - LIVE BREAKING NEWS COVERAGE (Invasion Imminent?) https://t.co/FoeRxvkpdN via @YouTube",ydye,0.0,WHYiotta got the Spirit Of Slap,en,15/05/2009,0.91,0.22,0.04,0.36,0.91,0.02,0.0,0.874857504,0.9967269
44042,44042,44042,2022-02-21 23:57:21+00:00,1.49591E+18,"@aravosis @chipfranklin I trump were potus, russia wouldn't be invading Ukraine, they'd be invading the USA",bean_joyanna,1.0,Joyanna Bean,en,31/01/2020,0.82,0.13,0.0,0.34,0.82,0.01,0.01,0.819914854,0.9958644
46618,46618,46618,2022-02-21 23:25:48+00:00,1.4959E+18,@newtgingrich Newt Gingrich and Tucker Carlson disagree on Putin's aggression in Ukraine https://t.co/66Vo7cSOrF #Ukraine #Putin #NewtGingrich #TuckerCarlson #Russia,Alice_Maryland,0.0,AliceMaryland 🇺🇸,en,30/04/2009,0.72,0.15,0.02,0.4,0.2,0.0,0.0,0.691579952,0.9903011
47740,47740,47740,2022-02-21 23:12:41+00:00,1.4959E+18,"Trump tried to weaken NATO.

Magats : Dems always ""Russia Russia Russia"" 

Trump sides with Putin regularly vs. Ukraine 

Magats : ""Russia Russia Russia"" 

Today Russia starts invading Ukraine. 

Magats : Fake news",retweetmy2cents,2.0,🤘ReTweetMy2Cents™🤘,en,12/09/2018,0.82,0.19,0.0,0.15,0.14,0.0,0.0,0.577886208,0.9977796
49126,49126,49126,2022-02-22 23:37:54+00:00,1.49627E+18,Why has the MSM missed that Ukraine-Russia conflict may be caused by -- #water? @AgarIII  https://t.co/9K8JLJvhQV,Tangento,1.0,Alan Tangento 🇺🇸 Defender of Democracy 🇺🇦,en,16/04/2009,0.89,0.21,0.01,0.3,0.89,0.01,0.0,0.859506172,0.9912356
50477,50477,50477,2022-02-22 23:09:46+00:00,1.49626E+18,WTAF? Russia is invading Ukraine. Biden delivers a great speech and the GOP House members attack our US President. I suppose these asshats support Putin like the moron Trump does. #GOPTraitors https://t.co/nPQLfdvGyW,hikingismyjam,0.0,Lisa 🌊,en,27/04/2008,0.75,0.08,0.08,0.15,0.18,0.01,0.01,0.659646495,0.99660087
50576,50576,50576,2022-02-22 23:07:45+00:00,1.49626E+18,"@chipfranklin If  Russian Sukhoi fighter jets flew into US buildings today, #GQP would blame Hillary and the architect.
#TraitorsToDemocracy choose #Russia over #Ukraine",DaysonRick,1.0,Rick Dayson🏜🌵,en,19/08/2021,0.8,0.28,0.0,0.37,0.8,0.02,0.11,0.812935016,0.98435163
50715,50715,50715,2022-02-22 23:05:21+00:00,1.49626E+18,"@caslernoel @GOP Moscow should be just fine for their 4th of July party, after all, Russia is invading Ukraine and not Ukraine invading Russia.",WolverineDano,0.0,Blue Wolverine,en,12/06/2015,0.82,0.11,0.0,0.11,0.11,0.0,0.01,0.502712294,0.99638504
51293,51293,51293,2022-02-22 22:53:59+00:00,1.49626E+18,"@politvidchannel Candace, take some time to grow up and experience life. Russia invaded Ukraine.",Tink_240,2.0,Tink_240,en,06/02/2017,0.84,0.14,0.01,0.27,0.84,0.0,0.0,0.828754988,0.99288285
55448,55448,55448,2022-02-23 22:47:49+00:00,1.49662E+18,"@peterdaou ""If it bleeds, it leads"" is US MSM motto, so Russia invading Ukraine is their wildest dream come true, remember coverage of the Iraq War?
This is going to be like that, only even worse because there's even more 24/7 channels now, can't ignore it but don't want to obsess either 😼",purrmonsta,0.0,🇺🇸💙Puri Monsta🇺🇸#MaskUP🌊MrsResista🇺🇸 #BLM,en,30/05/2010,0.87,0.19,0.02,0.33,0.87,0.0,0.01,0.845754353,0.9924558
55823,55823,55823,2022-02-23 22:37:45+00:00,1.49662E+18,"Can someone cyberattack Russia please??

Massive Cyberattack Hits Ukraine Government Sites https://t.co/DDtUIHhQ03",RInman715,1.0,Renee Inman,en,24/08/2012,0.76,0.07,0.03,0.31,0.17,0.02,0.02,0.641418422,0.9987742
57389,57389,57389,2022-02-24 23:52:24+00:00,1.497E+18,"@realTuckFrumper This was on the NBC world news and it showed this lady and others after Russia had bombed / blasted an apartment complex in Ukraine.

🙏🙏🙏      💙💙💙

#UnitedWithUkraine",furbehrrr,17.0,🧢Jack 🙏🌎🌍🌏🕊🙏🇺🇦🕯🕯🕯,en,21/10/2015,0.89,0.4,0.03,0.54,0.89,0.01,0.01,0.859506172,0.9881615
63043,63043,63043,2022-02-25 23:40:34+00:00,1.49736E+18,"#Russia , via #Putin called the leader of Ukraine a fascist. He is Jewish! #bab_102",bab_102,1.0,Bab,en,12/01/2021,0.96,0.58,0.05,0.59,0.96,0.07,0.02,0.915837798,0.98859686
67433,67433,67433,2022-02-26 23:33:11+00:00,1.49772E+18,"2 contemporary cases studies in crisis management. Labor’s Penny Wong &amp; Albo offer bipartisan support to Fed Gov’t sanctioning Russia on Ukraine invasion. LNP’s Morrison &amp; Frydenberg played political games undermining Victoria’s pandemic response. Labor = unity, LNP = division!",GlennMcBurney1,30.0,Glenn McBurney,en,12/01/2016,0.73,0.08,0.0,0.22,0.21,0.0,0.0,0.705337782,0.9886775
68339,68339,68339,2022-02-26 23:25:45+00:00,1.49771E+18,"In Washington, a Ukraine Tragedy Foretold

But what can Biden really do to stop Putin?

#USA #uspoli #Canada #cdnpoli #UK #Australia

Personally, I believe Russia threw out rules of war and agreements out of the window when he invaded a sovereign country.

https://t.co/eLHvzyKOap",DennisKoch10,0.0,Dennis Koch,en,15/02/2013,0.73,0.17,0.0,0.36,0.73,0.0,0.0,0.799836204,0.9930065
68587,68587,68587,2022-02-27 23:58:24+00:00,1.49809E+18,"@Brandon55780121 agreed Ukraine is corrupt, but not everyone...not 99% of the country, How about the whole world Mafia? Ukraine is corrupt because of liberal US politicians &amp; liberal corrupt Russia. You are right that there is a lot more going on than meets the eye. Russia been attacking 8 years.",45Zulu1,0.0,45Zulu,en,05/01/2022,0.79,0.53,0.04,0.57,0.79,0.14,0.16,0.810078382,0.9967533
69082,69082,69082,2022-02-27 23:53:06+00:00,1.49808E+18,Oil prices leap 6%; Asia markets set to open mixed as investors assess Russia-Ukraine crisis https://t.co/WTarFJI3JB,SamFish90,0.0,Sam -GSD- Fisher 🐝⚖💛,en,22/03/2021,0.81,0.18,0.0,0.49,0.81,0.03,0.04,0.81620431,0.98570794
69130,69130,69130,2022-02-27 23:52:48+00:00,1.49808E+18,"The will of the people doesn't matter to a dictator....  

Over 3,000 detained in Russia for protesting against Ukraine invasion https://t.co/dl30lylwgx via @timesofisrael",GaleTStrong,5.0,Gale Turner Strong,en,16/01/2017,0.71,0.14,0.0,0.27,0.24,0.0,0.0,0.738478317,0.98824906
70246,70246,70246,2022-02-27 23:42:18+00:00,1.49808E+18,"@TeaPainUSA Ukraine won't surrender to russia like the @GOP did.

#GOPPussies #GOPCowards 

#UkraineRussiaWar #Ukraine #UkraineUnderAttack",FinnVanWilder,4.0,FVW,en,14/10/2011,0.92,0.1,0.0,0.31,0.92,0.01,0.01,0.882963268,0.9920335
70315,70315,70315,2022-02-27 23:41:41+00:00,1.49808E+18,"You’re anti-Russia because the NWO MSM told you to be

Putin is the only one that stood up to them and disallowed their globalist dominion

He’s is Ukraine now

Doing the same for them

😼🇺🇸 https://t.co/ZJSwcLOUr0 https://t.co/MlS0jbVcGN",ZeroDarkKitty,11.0,🇺🇸 🍊TheƑʉͫcͧкͭιͪηͣkitty🍊🍄,en,18/01/2021,0.82,0.48,0.0,0.49,0.82,0.02,0.05,0.819914854,0.9914712
71981,71981,71981,2022-02-27 23:26:01+00:00,1.49808E+18,"Haha... Hey, #MoscowMitch McTurtle &amp; Rand Paul. Isn't this your boy who was bribing you with some sweet aluminum cash?

RT @PalmerReport

Russian oligarch Oleg Deripaska is now calling for peace between Russia &amp; Ukraine. Guess he doesn’t like what’s happening to his bank account. https://t.co/3qK1YaF5Iz",tomiahonen,254.0,Tomi T Ahonen Not Afraid of Blueberries or Mangos,en,19/11/2008,0.71,0.42,0.0,0.4,0.71,0.02,0.0,0.798312364,0.99714386
74977,74977,74977,2022-02-28 23:33:41+00:00,1.49844E+18,Y Doesnt the MSM talk about this? Ukrainian Bombings Displace The Population Of Donbass -https://t.co/SCPPSsjfpo On Friday(2/18/22)people living in the Donbass region began to displace themselves towards Russia due to Ukraine’s bomb attacks on their territories; 8Yrs of #Genocide,mobygrapefan,0.0,Mysteriously Unnamed,en,01/03/2011,0.79,0.36,0.04,0.5,0.79,0.0,0.05,0.810078382,0.9939195
75628,75628,75628,2022-02-28 23:26:51+00:00,1.49844E+18,@MSignorile Please remember to report Facts and Not American MSM news propaganda. If Vladimir Putin sets off a nuclear weapon in Ukraine he will ASAP Become A WAR CRIMINAL And can never Leave Russia again because he will be Arrested. A FACT. @TheLeadCNN https://t.co/Hp1rAjc69X,DARDYER,0.0,I SEE DARLIGHT💡,en,23/04/2009,0.73,0.19,0.0,0.34,0.73,0.0,0.0,0.799836204,0.9915924
77862,77862,77862,2022-03-01 23:43:52+00:00,1.49881E+18,"@Imonlymewhoareu @dr_free_speech @davedwardspiano @Sifill_LDF @nytimes @CNN china wants to compete and win, putin wants to burn everything to the ground, their interests are not aligned perfectly... China's economy is more dependent on Ukraine than russia",dawson19791,0.0,DawsonKellaySC🌴🇺🇦,en,23/08/2009,0.78,0.05,0.0,0.26,0.14,0.0,0.01,0.577886208,0.98134935
79799,79799,79799,2022-03-01 23:21:00+00:00,1.4988E+18,"Did I hear Jennifer Griffin say Russia wanted to ""wipe Ukraine Off The Map?"" If so, what were her sources? Inflammatory rhetoric by the MSM talking heads is not helpful...",jmbenson1491,192.0,Jim Benson,en,06/04/2016,0.88,0.56,0.0,0.47,0.88,0.0,0.01,0.852404763,0.9807093
80019,80019,80019,2022-03-01 23:18:24+00:00,1.4988E+18,#Ukraine NOTE: The Mighty #Russia #Kremlin Army CAPTURED like PIGS in a farm! Prisoners Of #War - @KremlinRussia_E #Putin Army is the laughing stock of the WORLD! #BREAKING https://t.co/vKD717djAC,Latinos4Trump,0.0,GRUNT 0311 🇺🇸,en,11/07/2021,0.76,0.44,0.0,0.3,0.76,0.0,0.02,0.803670651,0.9825997
81586,81586,81586,2022-03-02 23:46:16+00:00,1.49917E+18,Putin Murdering and arresting little kids.  #BidensWar #BidenIsWeak #BidenIsALaughingstock #demexit #StandWithUkraine #DefendUkraine #DefendDemocracy  #Ukraine #russia #USA #UK https://t.co/uP5GBwTlii https://t.co/H9Biybo0HB,rikki_5,1.0,Rikki,en,29/01/2009,0.71,0.26,0.0,0.17,0.15,0.0,0.02,0.600488326,0.99094796
82320,82320,82320,2022-03-02 23:36:50+00:00,1.49917E+18,"If they think we won’t notice or care because of Russia attacking Ukraine they are mistaken.

Both are outrages. https://t.co/fu5Vl69BtM",BerkeleyGirl63,2.0,Laserbeam 🌹🇺🇦,en,14/07/2009,0.72,0.14,0.01,0.25,0.15,0.01,0.0,0.600488326,0.99574554
84838,84838,84838,2022-03-03 23:54:48+00:00,1.49953E+18,"@Api4Now @InvestigatorCps @cwebbonline You know I don't think Xi will invade Taiwan
China is on the global stage in a huge $$$$$$ way

Putin invading Ukraine is destroying the economy of Russia Belarus and Ukraine 
Will probably throw the global economy into a recession

Invasion is bad for business
Ask the Oligarchs",MaryFabulous3,2.0,Mary Fabulous,en,24/10/2017,0.83,0.1,0.01,0.2,0.83,0.0,0.0,0.824091714,0.98377347
85460,85460,85460,2022-03-03 23:45:59+00:00,1.49953E+18,@MalcolmNance It's 99% certain russia will use nuclear bombs in Ukraine. The time to stand against putin was 20 yrs ago. Next best was 2 weeks ago. Stand now or glow. #PutiinsPlan https://t.co/8W5OxlCe39,WillSolly2,3.0,Will Solly,en,28/08/2019,0.77,0.17,0.0,0.36,0.08,0.0,0.0,0.419722242,0.99830574
85688,85688,85688,2022-03-03 23:42:38+00:00,1.49953E+18,@lulucoyote It makes Putin uncomfortable he's covering his recognition spewing evil how Ukrainians are terrorists killing russians. It's 99% certain russia will use nuclear bombs in Ukraine. What will the West do then? Cower? Or cower before Putin as they've done for 20 years? #PutinsPlan https://t.co/Aa2teMRiNP,WillSolly2,2.0,Will Solly,en,28/08/2019,0.77,0.17,0.0,0.36,0.08,0.0,0.0,0.419722242,0.9813787
86182,86182,86182,2022-03-03 23:35:06+00:00,1.49953E+18,"MSM use un-named sources to give a rosy picture of Ukraine scoring points on Russia?
Hope it's true but, MSM (incl Yahoo News) have proven themselves to be totally untrustworthy in reporting facts and, shown they will make up BS repeatedly.

https://t.co/96el8wxgSo via @YahooNews",desc_sam,0.0,C. M. Cavanagh @45,en,06/08/2018,0.77,0.51,0.01,0.4,0.77,0.0,0.05,0.805478436,0.9962594
87626,87626,87626,2022-03-03 23:15:51+00:00,1.49952E+18,"Every politician that was wearing blue &amp; yellow to support Ukraine at the #SOTU is just virtue signaling &amp; completely full of shit if they don't oppose our country continuing to buy oil from Russia. If Russia is so bad, why are you giving them money to continue invading Ukraine? https://t.co/Rbc2Vnw53k",nothin_was_left,1.0,Justin Credible,en,04/05/2019,0.82,0.23,0.01,0.43,0.82,0.0,0.03,0.819914854,0.9953211
87808,87808,87808,2022-03-03 23:13:20+00:00,1.49952E+18,TRAITOR #RussellBentley can stay in Russia. Pro-Russian American Explains Why Russia Isn't 'Invading' Ukraine https://t.co/bJmj8LuIoF via @YouTube,Marlitomo,0.0,Marlitomo,en,21/05/2009,0.75,0.14,0.0,0.1,0.2,0.0,0.0,0.691579952,0.99494964
88642,88642,88642,2022-03-04 23:58:17+00:00,1.4999E+18,"@Tomke48771860 @ChristopherJM Your slings and arrow will not hurt Ukraine.
Out damn Russia, out.
Out damn Putin, out.",jazzaoxon,0.0,Madam X Dance,en,23/04/2008,0.72,0.14,0.0,0.26,0.15,0.01,0.01,0.600488326,0.99326634
88736,88736,88736,2022-03-04 23:56:51+00:00,1.4999E+18,"@BrianKarem @chipfranklin That’s great, and Facebook won’t cut off their link to Russia so that’ll be fun, go Ukraine!! 🇺🇦🇺🇦🇺🇦Ukraine",colleenprouty1,112.0,colleen prouty 🇺🇦🇺🇦🇺🇦Assa**anatePutin🇺🇦,en,28/01/2021,0.92,0.29,0.01,0.47,0.92,0.0,0.0,0.882963268,0.99499416
89425,89425,89425,2022-03-04 23:47:02+00:00,1.49989E+18,"@o_vitya I support Russia

Why?

Because the democrats/MSM support Ukraine",SeniorMoments17,0.0,🤐🧠 ᔕ𝐞𝐧ＩⓄ𝐫 ᵐσ𝕄ｅⓃⓣˢ 🤷‍♂️😜,en,23/07/2021,0.78,0.24,0.0,0.24,0.78,0.02,0.11,0.807603545,0.98292696
93163,93163,93163,2022-03-05 23:51:33+00:00,1.50026E+18,"@ACTBrigitte This is the Truth about Russia/Ukraine:
https://t.co/to4prbZv0S (yes the picture is old) READ.",KathrynJane805,0.0,SweetBabyJane FreeJ6PoliticPrizners! All4 Liberty!,en,13/05/2012,0.72,0.17,0.04,0.4,0.25,0.03,0.0,0.747083977,0.98622835
